# host	dc02-pe-t137-n047
# kernel	5.15.152.bsk.15-amd64
# compiler	gcc 12.2.0
# flags	-std=c11 -O3 -march=native -mtune=native -DNDEBUG -flto -Wall -Wextra -Werror
# cpu	96
# cpu_topology	2 sockets; 64 cores/socket; SMT2; 256 logical CPUs; AMD EPYC 7Y83
# memory_node	3
# frequency_governor	performance
# file	/data27 local NVMe ext4
# repeats	7; small warm scan repeats=21
# source.mmap_pread_tradeoff_benchmark.c	bfc6a073f19bba3b0dc102f69c36de3ff50f566dbcf954b15759136ddf862889
# source.virtual_memory_benchmark_support.h	1a788082817c648a1d98ad15069768eca5e4db705523f4bd9d009bcc370074f1
# binary.mmap_pread_tradeoff_benchmark	713950d950f6f854ccb077081a3450a0c59422dd1343dccf93f701ef15282c54
case	metric	round_values
scan-warm-1m-mmap-persistent	warmup_us	509.713
scan-warm-1m-mmap-persistent	perf_aperf	6601613
scan-warm-1m-mmap-persistent	perf_mperf	4979992
scan-warm-1m-mmap-persistent	perf_tsc	4978376
scan-warm-1m-mmap-persistent	perf_task_clock_ms	2.06
scan-warm-1m-mmap-persistent	perf_context_switches	4
scan-warm-1m-mmap-persistent	perf_page_faults	149
scan-warm-1m-mmap-persistent	perf_minor_faults	144
scan-warm-1m-mmap-persistent	perf_major_faults	5
scan-warm-1m-mmap-persistent	perf_pread64	4
scan-warm-1m-mmap-persistent	perf_mmap	21
scan-warm-1m-mmap-persistent	perf_munmap	3
lookup-cold-512m-pread-reuse	ns_per_probe	66398.045,65243.305,65412.431,65649.387,66751.391,65527.030,65391.981
lookup-cold-512m-pread-reuse	elapsed_ms	2175.731,2137.893,2143.435,2151.199,2187.310,2147.190,2142.764
lookup-cold-512m-pread-reuse	logical_calls	32768,32768,32768,32768,32768,32768,32768
lookup-cold-512m-pread-reuse	minor	1,0,0,0,0,0,0
lookup-cold-512m-pread-reuse	major	0,0,0,0,0,0,0
lookup-cold-512m-pread-reuse	read_bytes	134217728,134217728,134217728,134217728,134217728,134217728,134217728
lookup-cold-512m-pread-reuse	checksum	4104105,4104105,4104105,4104105,4104105,4104105,4104105
lookup-cold-512m-pread-reuse	setup_us	0.102
lookup-cold-512m-pread-reuse	warmup_us	0.000
lookup-cold-512m-pread-reuse	perf_aperf	2650663053
lookup-cold-512m-pread-reuse	perf_mperf	1990566276
lookup-cold-512m-pread-reuse	perf_tsc	1984614674
lookup-cold-512m-pread-reuse	perf_task_clock_ms	872.26
lookup-cold-512m-pread-reuse	perf_context_switches	229382
lookup-cold-512m-pread-reuse	perf_page_faults	260
lookup-cold-512m-pread-reuse	perf_minor_faults	260
lookup-cold-512m-pread-reuse	perf_major_faults	0
lookup-cold-512m-pread-reuse	perf_pread64	229380
lookup-cold-512m-pread-reuse	perf_mmap	21
